5.237,4.5066,0.1388,53.5668,30.564,33.0889,21.9467,0.0012,296.3829,1.3086,0.2621,0.7666,0.9429
5.8869,4.589,0.1486,33.8341,39.9413,35.0775,24.21,0.0027,309.5743,2.9371,0.1083,0.3204,0.4382
5.541,4.395,0.1379,35.9341,34.7751,27.0686,27.2169,0.0028,304.3134,2.9587,0.1555,0.3857,0.6192
5.3369,4.4319,0.1799,36.063,17.1021,39.3333,21.7028,0.0015,303.7274,1.9694,0.2684,0.6611,0.9205
5.1895,4.3727,0.1707,58.8051,49.412,29.0236,22.638,0.0013,313.4771,1.7638,0.2689,0.1983,0.485
5.7705,4.649,0.1662,52.675,15.9513,31.0157,26.3337,0.0011,303.2346,2.3055,0.2719,0.1904,0.4915
5.0588,4.2469,0.1412,35.3928,34.238,26.0254,29.6039,0.0029,296.0829,2.9805,0.2359,0.7022,0.9361
4.714,4.4834,0.1782,56.3565,28.5364,35.0334,29.3707,0.0024,312.4354,2.6817,0.1498,0.6926,0.8501
4.3797,4.3316,0.1327,39.2722,20.0088,11.7179,29.6267,0.0019,313.7215,2.5507,0.1887,0.3421,0.7552
5.8993,5.0075,0.1516,27.3254,43.2625,15.2793,27.5098,0.0024,309.3274,1.458,0.2619,0.1764,0.3906
5.7779,4.9741,0.1793,24.6443,20.9782,34.8967,26.8288,0.0017,298.3464,1.9998,0.247,0.3958,0.7944
5.2148,4.7071,0.1405,27.7839,22.1022,20.5249,28.7037,0.0022,290.5673,1.1216,0.2002,0.6887,0.8829
5.5553,5.0263,0.1989,30.9682,25.7923,31.053,23.7437,0.0025,289.9629,2.0106,0.1898,0.1442,0.2773
5.4953,5.2891,0.1504,20.4135,46.7258,21.8594,21.3445,0.0024,291.2666,2.8032,0.2696,0.2488,0.7608
5.277,4.7534,0.1136,41.3799,28.023,31.007,25.1099,0.0013,319.6947,1.743,0.2196,0.2246,0.578
5.0273,4.2877,0.1259,24.4948,37.1463,18.3377,23.6074,0.0016,281.5585,2.7837,0.2449,0.137,0.4135
5.0829,4.6813,0.1511,56.5608,31.1339,42.1841,22.9164,0.0025,296.7813,1.2256,0.1726,0.3506,0.4422
4.8612,4.8033,0.1237,20.2838,16.0227,41.5078,27.9572,0.0024,315.9538,2.1941,0.1194,0.5981,0.8661
5.9244,5.3748,0.1922,42.9515,13.932,33.3916,23.4253,0.0028,310.2957,2.2278,0.2504,0.468,0.7773
5.8655,5.1176,0.1463,26.8528,46.2699,31.9362,26.0351,0.002,290.8715,2.4239,0.1419,0.1392,0.273
5.0759,4.5271,0.1799,48.7609,19.8013,36.0048,22.4954,0.0025,295.3186,1.255,0.1574,0.4453,0.5453
5.4873,4.1248,0.1568,21.0746,26.9747,18.7018,25.4979,0.0018,283.2272,1.2207,0.2436,0.2387,0.4599
5.1529,4.1952,0.1631,23.2469,36.3136,43.9864,21.1159,0.0015,321.1695,2.7033,0.1537,0.8528,0.9771
5.7941,4.8374,0.1682,52.5059,22.8007,22.8777,28.0935,0.0029,288.4207,2.5496,0.2724,0.8931,0.9713
5.4829,4.8567,0.1741,56.654,40.1519,22.7641,21.4643,0.0014,274.3024,1.8774,0.1145,0.1417,0.1877
5.4547,4.5616,0.1709,59.7439,15.7987,36.1676,22.6296,0.0011,302.7954,1.8032,0.166,0.2622,0.4634
5.1314,4.0891,0.1629,41.176,14.1699,21.498,27.8956,0.0016,287.6421,1.5605,0.2913,0.7006,0.9111
5.3331,4.2331,0.1881,28.3963,49.844,19.7289,26.3189,0.0023,314.077,1.4101,0.2875,0.424,0.7735
5.9411,4.4079,0.1514,23.6902,26.8732,13.6936,29.5205,0.0014,275.8045,1.9315,0.2059,0.6935,0.9146
5.9598,5.3593,0.1616,21.4977,23.1658,23.4097,25.5624,0.0022,312.7223,2.733,0.2441,0.7807,0.9727
5.4577,4.2838,0.1005,28.3213,40.6804,49.5619,29.4915,0.0018,296.9535,1.5146,0.2015,0.6645,0.9204
4.4016,4.3996,0.1837,51.283,16.3909,46.5663,25.6243,0.0027,310.6687,1.9511,0.1994,0.2467,0.4261
5.9444,4.8204,0.1237,39.0552,28.5939,18.1781,26.4903,0.0016,281.1118,2.5293,0.2433,0.5458,0.8742
5.313,4.2373,0.1049,23.0257,25.1426,30.0246,23.3395,0.0024,288.9308,1.2822,0.2653,0.5478,0.8439
5.9975,4.1619,0.1846,23.3036,19.1703,23.4354,29.1209,0.0022,305.7184,1.1132,0.2007,0.3219,0.5126
5.0354,4.2545,0.1717,53.6022,31.384,47.8798,28.0634,0.0017,304.1698,1.7621,0.1552,0.5076,0.6875
5.1578,4.2191,0.1297,56.9215,36.2172,29.3676,24.9394,0.0028,275.1903,2.3979,0.278,0.1202,0.2338
5.0247,4.4333,0.1981,35.533,18.8608,28.8083,25.5329,0.001,317.485,1.3771,0.1563,0.6369,0.8796
5.7493,5.692,0.1159,20.1173,11.7069,14.8304,21.5638,0.0018,295.8707,2.9969,0.1344,0.8877,0.9843
4.8002,4.4665,0.1494,20.746,40.1024,31.3364,24.955,0.0016,285.6404,2.7107,0.2915,0.5846,0.9548
5.4489,4.8362,0.1696,31.8611,44.3487,19.4176,22.9514,0.0024,320.6869,1.4166,0.1606,0.149,0.2347
4.8885,4.5429,0.1942,38.0529,35.3471,11.229,22.0617,0.0024,287.5388,1.588,0.1584,0.2553,0.3713
4.211,4.1539,0.1898,53.9235,38.7549,10.4487,20.7308,0.0013,278.9305,2.2639,0.2866,0.2097,0.6214
